SYMBOL,SECTOR,MARKET_CAP
ARVSMART,Real Estate,2428.43
ASAHIINDIA,Consumer Cyclical,20531.84
ASAHISONG,Basic Materials,272.5
ASAL,Consumer Cyclical,675.74
ASALCBR,Consumer Defensive,1572.9
ASHAPURMIN,Basic Materials,4672.66
ASHIANA,Real Estate,3118.78
ASHIMASYN,Real Estate,269.93
ASHOKA,Industrials,3158.7
ASHOKAMET,Basic Materials,36.17
ASHOKLEY,Industrials,89828.85
ASIANENE,Energy,1255.72
ASIANHOTNR,Consumer Cyclical,1288.1
ASIANPAINT,Basic Materials,209567.89
ASIANTILES,Industrials,1702.6
ASKAUTOLTD,Consumer Cyclical,8539.23
ASMS,Technology,248.05
ASPINWALL,Consumer Defensive,171.06
ASTEC,Basic Materials,1200.42
ASTERDM,Healthcare,33906.19
ASTRAL,Industrials,41493.02
ASTRAMICRO,Technology,9465.07
ASTRAZEN,Healthcare,19478.75
ASTRON,Basic Materials,18.05
ATALREAL,Industrials,300.94
ATAM,Industrials,66.64
ATGL,Utilities,57170.88
ATHERENERG,Consumer Cyclical,29121.43
ATL,Industrials,691.41
ATLANTAA,Industrials,320.54
ATLANTAELE,Industrials,9264.51
ATLASCYCLE,Consumer Cyclical,54.08
ATUL,Basic Materials,18287.75
ATULAUTO,Consumer Cyclical,1144.19
AUBANK,Financial Services,66383.28
AURIGROW,Industrials,19.32
AURIONPRO,Technology,4384.23
AUROPHARMA,Healthcare,77246.61
AURUM,Real Estate,1253.19
AUSOMENT,Financial Services,135.65
AUTOAXLES,Consumer Cyclical,2514.18
AUTOIND,Consumer Cyclical,274.01
AVADHSUGAR,Consumer Defensive,984.91
AVALON,Technology,6446.27
AVANTEL,Technology,3614.46
AVANTIFEED,Consumer Defensive,16910.81
AVG,Industrials,223.62
AVL,Consumer Cyclical,5974.44
AVONMORE,Financial Services,331.28
AVROIND,Consumer Cyclical,148.84
AVTNPL,Basic Materials,910.38
AWFIS,Industrials,2013.08
AWHCL,Industrials,1194.17
AWL,Consumer Defensive,23212.88
AXISBANK,Financial Services,388770.14
AXISCADES,Industrials,6866.72
AXITA,Consumer Cyclical,337.68
AYE,Financial Services,2202.2
AYMSYNTEX,Consumer Cyclical,1088.44
AZAD,Industrials,10150.31
BAFNAPH,Healthcare,278.19
BAGFILMS,Communication Services,89.32
BAIDFIN,Financial Services,155.51
BAJAJ-AUTO,Consumer Cyclical,252709.59
BAJAJCON,Consumer Defensive,5067.34
BAJAJELEC,Consumer Cyclical,4074.94
BAJAJFINSV,Financial Services,269082.43
BAJAJHCARE,Healthcare,1058.69
BAJAJHFL,Financial Services,67062.39
BAJAJHIND,Consumer Defensive,3963.4
BAJAJHLDNG,Financial Services,102801.81
BAJAJINDEF,Industrials,795.78
BAJEL,Utilities,1787.52
BAJFINANCE,Financial Services,531559.72
BALAJEE,Consumer Cyclical,228.48
BALAJITELE,Communication Services,1036.78
BALAMINES,Basic Materials,3353.02
BALAXI,Healthcare,126.65
